uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits,feature_set,numeric_features,n_numeric_features,n_runs,clip_predictions,svd_explained_variance
14,5,0.45999999999999996,0.1729009451741235,0.071875,0.0270157726834568,2.3,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_watching_completed_on_hold_dropped,"mean, popularity, watching, completed, on_hold, dropped",6,20,False,0.40687277196386595
14,5,0.45,0.1933091333916522,0.0703125,0.030204552092445654,2.25,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_watching_dropped,"mean, watching, dropped",3,20,False,0.40687277196386595
14,5,0.45,0.19330913339165215,0.0703125,0.030204552092445658,2.25,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_plan_to_watch,"mean, popularity, statistics_num_list_users, plan_to_watch",4,20,False,0.40687277196386595
14,5,0.45,0.19330913339165215,0.0703125,0.030204552092445658,2.25,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_completed_plan_to_watch,"mean, popularity, completed, plan_to_watch",4,20,False,0.40687277196386595
14,5,0.45,0.19330913339165218,0.0703125,0.030204552092445654,2.25,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_completed_on_hold_dropped,"mean, popularity, completed, on_hold, dropped",5,20,False,0.40687277196386595
14,5,0.45,0.1933091333916522,0.0703125,0.030204552092445654,2.25,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_on_hold_dropped_plan_to_watch,"mean, popularity, on_hold, dropped, plan_to_watch",5,20,False,0.40687277196386595
14,5,0.45,0.19330913339165218,0.0703125,0.030204552092445654,2.25,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_completed_on_hold_dropped,"mean, popularity, statistics_num_list_users, completed, on_hold, dropped",6,20,False,0.40687277196386595
14,5,0.43,0.18666040089734592,0.0671875,0.029165687640210304,2.15,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_on_hold_plan_to_watch,"mean, popularity, statistics_num_list_users, on_hold, plan_to_watch",5,20,False,0.40687277196386595
14,5,0.42000000000000004,0.17044832524535808,0.065625,0.026632550819587198,2.1,,,,,,combo_popularity_watching_dropped,"popularity, watching, dropped",3,20,False,0.40687277196386595
14,5,0.42000000000000004,0.17044832524535808,0.065625,0.026632550819587198,2.1,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_watching_plan_to_watch,"mean, popularity, watching, plan_to_watch",4,20,False,0.40687277196386595
14,5,0.42000000000000004,0.15761378513048246,0.065625,0.024627153926637883,2.1,,,,,,combo_popularity_statistics_num_list_users_completed_dropped,"popularity, statistics_num_list_users, completed, dropped",4,20,False,0.40687277196386595
14,5,0.42000000000000004,0.15761378513048246,0.065625,0.024627153926637887,2.1,,,,,,combo_popularity_statistics_num_list_users_on_hold_dropped,"popularity, statistics_num_list_users, on_hold, dropped",4,20,False,0.40687277196386595
14,5,0.42000000000000004,0.19358120830939743,0.065625,0.030247063798343344,2.1,,,,,,combo_popularity_completed_on_hold_dropped,"popularity, completed, on_hold, dropped",4,20,False,0.40687277196386595
14,5,0.42000000000000004,0.15761378513048246,0.065625,0.024627153926637887,2.1,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_watching_completed_on_hold_dropped,"mean, popularity, statistics_num_list_users, watching, completed, on_hold, dropped",7,20,False,0.40687277196386595
14,5,0.41,0.16511558949637928,0.0640625,0.025799310858809266,2.05,,,,,,combo_popularity_watching_on_hold_dropped,"popularity, watching, on_hold, dropped",4,20,False,0.40687277196386595
14,5,0.41,0.199736668746891,0.0640625,0.03120885449170172,2.05,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_completed_on_hold_plan_to_watch,"mean, popularity, completed, on_hold, plan_to_watch",5,20,False,0.40687277196386595
14,5,0.41,0.1651155894963793,0.0640625,0.025799310858809266,2.05,,,,,,combo_popularity_statistics_num_list_users_completed_on_hold_dropped,"popularity, statistics_num_list_users, completed, on_hold, dropped",5,20,False,0.40687277196386595
14,5,0.41,0.15183093090324964,0.0640625,0.02372358295363276,2.05,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_watching_on_hold_dropped,"mean, popularity, statistics_num_list_users, watching, on_hold, dropped",6,20,False,0.40687277196386595
14,5,0.41,0.199736668746891,0.0640625,0.03120885449170172,2.05,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_completed_on_hold_plan_to_watch,"mean, popularity, statistics_num_list_users, completed, on_hold, plan_to_watch",6,20,False,0.40687277196386595
14,5,0.4,0.19466570535691505,0.0625,0.030416516462017977,2.0,0.17,0.1341640786499874,0.0265625,0.02096313728906053,0.85,combo_mean_popularity_statistics_num_list_users_dropped_plan_to_watch,"mean, popularity, statistics_num_list_users, dropped, plan_to_watch",5,20,False,0.40687277196386595
