bayesian_uncertainty_weight,k,avg_precision_at_k,std_precision_at_k,avg_hit_rate,std_hit_rate,avg_hits,avg_ndcg_at_k,std_ndcg_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,baseline_avg_precision_at_k,baseline_std_precision_at_k,baseline_avg_hit_rate,baseline_std_hit_rate,baseline_avg_hits,component,n_feature,clip_predictions,n_runs,svd_explained_variance
14,5,0.5479999999999999,0.1743559577416269,0.085625,0.027243118397129208,2.74,0.6275169887983904,0.1947687694837353,0.9283333333333332,0.18951915052972462,3.21,2.61,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,200,3000,False,100,0.2959702772822046
14,5,0.534,0.17536109931086524,0.0834375,0.0274001717673227,2.67,0.5858317457461917,0.19079198625768065,0.8545,0.2445116413607801,3.1,2.53,46.31,31.86,0.10200000000000001,0.13179414618903593,0.0159375,0.020592835342036857,0.51,200,2000,False,100,0.3480807165830282
14,10,0.41,0.1403458930534474,0.128125,0.04385809157920231,4.1,0.5175181735415919,0.15474226218169398,0.9595,0.16273571352936775,5.02,3.73,46.31,31.86,0.051000000000000004,0.06589707309451796,0.0159375,0.020592835342036857,0.51,300,4000,False,100,0.34098805737137655
14,10,0.405,0.13586609569571048,0.1265625,0.04245815490490953,4.05,0.5241294960551878,0.15587498910011433,0.9683333333333333,0.14103394056244897,5.08,3.76,46.31,31.86,0.051000000000000004,0.06589707309451796,0.0159375,0.020592835342036857,0.51,400,3000,False,100,0.45067283889708964
14,10,0.401,0.14034229439466778,0.1253125,0.043856966998333684,4.01,0.5111485431078013,0.15265590826244574,0.9478333333333333,0.17040677220541445,5.01,3.68,46.31,31.86,0.051000000000000004,0.06589707309451796,0.0159375,0.020592835342036857,0.51,400,2000,False,100,0.5248408018418845
14,10,0.401,0.13295020712942712,0.1253125,0.04154693972794598,4.01,0.5039829968938659,0.15209103171032864,0.9375,0.1813308916205186,5.02,3.67,46.31,31.86,0.051000000000000004,0.06589707309451796,0.0159375,0.020592835342036857,0.51,300,2000,False,100,0.44402248624548446
14,10,0.39799999999999996,0.1399711369958792,0.124375,0.043740980311212256,3.98,0.5004491056972215,0.15879879514883996,0.9395,0.18585886720444228,4.85,3.64,46.31,31.86,0.051000000000000004,0.06589707309451796,0.0159375,0.020592835342036857,0.51,200,4000,False,100,0.2649706429012496
14,10,0.397,0.13518038827336376,0.1240625,0.04224387133542617,3.97,0.5164943452288485,0.154523170745237,0.9620000000000001,0.15337724448098267,4.98,3.67,46.31,31.86,0.051000000000000004,0.06589707309451796,0.0159375,0.020592835342036857,0.51,400,4000,False,100,0.40687277196386595
14,10,0.396,0.13174815276722388,0.12375,0.04117129773975745,3.96,0.5087408477670837,0.15365855732300102,0.9566666666666667,0.16131126543009228,4.96,3.67,46.31,31.86,0.051000000000000004,0.06589707309451796,0.0159375,0.020592835342036857,0.51,300,3000,False,100,0.37937105892729933
14,10,0.392,0.13756908273755597,0.1225,0.042990338355486254,3.92,0.5162819652847364,0.15413368855904783,0.9595,0.1644508427638677,4.96,3.71,46.31,31.86,0.051000000000000004,0.06589707309451796,0.0159375,0.020592835342036857,0.51,400,5000,False,100,0.37248975281117647
