bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,component,score_count,n_runs,max_tfidf_features,clip_predictions,svd_explained_variance,candidate_universe_size
0,5,0.0380690814456909,0.07116263954685707,0.046000000000000006,0.08459051693633014,0.07383333333333333,0.14349444785655144,0.23,0.23,14.55,8.34,Dadalt,200,68,100,3000,False,0.29562264705222047,4859
0,5,0.0955200861517387,0.1260435891857565,0.126,0.14949071793082921,0.35766666666666663,0.43237669592953376,0.63,0.33,32.46,18.08,yorkie_pro,200,187,100,3000,False,0.29562264705222047,4859
0,5,0.0013120507751234179,0.013120507751234177,0.002,0.019999999999999993,0.002,0.019999999999999993,0.01,0.01,23.48,23.48,Opelo_Stradyon,200,395,100,3000,False,0.29562264705222047,4859
0,5,0.12019512410545713,0.109894097173199,0.19400000000000003,0.14621141466307538,0.2503333333333333,0.19786997056785866,0.97,0.6,16.53,8.52,Captn_Cook,200,79,100,3000,False,0.29562264705222047,4859
0,5,0.03247529149691153,0.0690245540374743,0.05,0.09587449708822045,0.06866666666666667,0.13573758270289293,0.25,0.18,19.83,9.35,Dinterdos123,200,83,100,3000,False,0.29562264705222047,4859
0,5,0.0872082059193968,0.11575641769602765,0.134,0.16830707866062178,0.1515,0.17640083869487666,0.67,0.49,48.0,17.9,Ebelha,200,191,100,3000,False,0.29562264705222047,4859
0,5,0.06414335205122744,0.07435345173765749,0.124,0.1092860208051988,0.13416666666666668,0.11932693303378863,0.62,0.37,35.29,7.28,Moonshyla,200,144,100,3000,False,0.29562264705222047,4859
0,5,0.11251319125574591,0.14034082281620516,0.10800000000000001,0.1252714224910426,0.24766666666666665,0.3487593853453153,0.54,0.54,60.88,33.29,LocNguyen,200,572,100,3000,False,0.29562264705222047,4859
0,5,0.005396835823797318,0.026603655902394496,0.008,0.03938927711338648,0.0085,0.042076769665155445,0.04,0.04,41.06,26.91,IM_C4,200,228,100,3000,False,0.29562264705222047,4859
0,5,0.0026241015502468357,0.01846124902354874,0.004,0.028141058827257943,0.004,0.028141058827257943,0.02,0.02,34.29,9.94,HumanRat,200,161,100,3000,False,0.29562264705222047,4859
0,5,0.03423333126774152,0.08133593506465345,0.034,0.07550503361372739,0.07766666666666666,0.20590633460569382,0.17,0.17,27.24,5.73,KSTTK,200,138,100,3000,False,0.29562264705222047,4859
0,5,0.38290181453120775,0.11976305355860192,0.494,0.15687606895285527,0.35,0.1005037815259212,2.47,2.47,15.44,15.44,DaiShi57,200,190,100,3000,False,0.29562264705222047,4859
0,5,0.02192604145084059,0.05163907567357912,0.032,0.07369058983549413,0.03816666666666667,0.08955855698406749,0.16,0.15,32.02,12.67,dareggon,200,145,100,3000,False,0.29562264705222047,4859
0,5,0.07692439303524322,0.11301210297019738,0.114,0.14840566843703248,0.17433333333333334,0.24823077673511504,0.57,0.34,18.79,7.16,pensa89,200,92,100,3000,False,0.29562264705222047,4859
0,5,0.01908570332314077,0.06259972337427651,0.02,0.06030226891555273,0.042333333333333334,0.15928818936985656,0.1,0.1,32.63,17.87,MarnikBe,200,163,100,3000,False,0.29562264705222047,4859
0,5,0.06744479491339594,0.09269196509582285,0.07600000000000001,0.10162318990896085,0.13733333333333334,0.197758482772339,0.38,0.38,90.2,39.17,Edison-great,200,459,100,3000,False,0.29562264705222047,4859
0,5,0.13208973957422948,0.17159033837940446,0.124,0.15512783910261385,0.27566666666666667,0.36748775527979655,0.62,0.58,23.96,11.67,TheRealist68,200,149,100,3000,False,0.29562264705222047,4859
0,5,0.0726500317164598,0.08864234395085789,0.134,0.15584244828309357,0.12683333333333333,0.13737344956892017,0.67,0.43,45.98,25.59,MeloniaShaby,200,220,100,3000,False,0.29562264705222047,4859
0,5,0.10022236452844208,0.13335624817555047,0.114,0.14285685425656275,0.18183333333333335,0.26070885628245866,0.57,0.56,187.09,26.89,Irseus,200,775,100,3000,False,0.29562264705222047,4859
0,5,0.010496406200987343,0.03577436650810192,0.016,0.05453198486885816,0.016,0.05453198486885816,0.08,0.08,37.86,21.92,AkiAki_Akira,200,234,100,3000,False,0.29562264705222047,4859
0,5,0.0472492340733919,0.0762062545006941,0.05800000000000001,0.09120960431441373,0.09066666666666666,0.15532667143703363,0.29,0.29,85.95,51.45,GrumbleDango,200,488,100,3000,False,0.29562264705222047,4859
0,5,0.4937168022664242,0.15297000103980035,0.5920000000000001,0.1818424226264781,0.4886666666666667,0.06217530698840282,2.96,2.8,106.18,45.76,Vurnox,200,661,100,3000,False,0.29562264705222047,4859
