username,requested_knn_neighbors,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,valid_runs,score_count,avg_train_count,avg_actual_knn_neighbors,min_actual_knn_neighbors,max_actual_knn_neighbors
GrumbleDango,150,5,0.4024862601506871,0.20096511242149734,0.402,0.19998989873481005,0.5906666666666667,0.2827268216278551,2.01,1.93,85.95,51.45,100,488,366.0,150.0,150,150
Irseus,200,5,0.3987732748389518,0.17156164041618963,0.466,0.18434705960182382,0.8540000000000001,0.26949385155683236,2.33,1.65,187.09,26.89,100,775,581.0,200.0,200,200
Opelo_Stradyon,100,5,0.3937130271775296,0.20829470858727303,0.36,0.1842264745887353,0.7065,0.36484776124966006,1.8,1.8,23.48,23.48,100,395,296.0,100.0,100,100
Opelo_Stradyon,150,5,0.3870403831638472,0.19648707622710745,0.382,0.17313508476261416,0.6146666666666667,0.31941725839521923,1.91,1.91,23.48,23.48,100,395,296.0,150.0,150,150
GrumbleDango,100,5,0.37752426449429144,0.2013750329318615,0.368,0.1879608813803897,0.5726666666666667,0.30021055088005844,1.84,1.82,85.95,51.45,100,488,366.0,100.0,100,100
IM_C4,50,5,0.37543325827336027,0.2469427880803574,0.32,0.22383254924387128,0.6945,0.41013435016490046,1.6,1.6,41.06,26.91,100,228,171.0,50.0,50,50
Dinterdos123,100,5,0.37352724385071456,0.13965197680032906,0.41200000000000003,0.13873890892062274,0.5695,0.29378194002155456,2.06,1.95,19.83,9.35,100,83,62.0,62.0,62,62
Dinterdos123,150,5,0.37352724385071456,0.13965197680032906,0.41200000000000003,0.13873890892062274,0.5695,0.29378194002155456,2.06,1.95,19.83,9.35,100,83,62.0,62.0,62,62
Dinterdos123,200,5,0.37352724385071456,0.13965197680032906,0.41200000000000003,0.13873890892062274,0.5695,0.29378194002155456,2.06,1.95,19.83,9.35,100,83,62.0,62.0,62,62
Dinterdos123,250,5,0.37352724385071456,0.13965197680032906,0.41200000000000003,0.13873890892062274,0.5695,0.29378194002155456,2.06,1.95,19.83,9.35,100,83,62.0,62.0,62,62
Dinterdos123,300,5,0.37352724385071456,0.13965197680032906,0.41200000000000003,0.13873890892062274,0.5695,0.29378194002155456,2.06,1.95,19.83,9.35,100,83,62.0,62.0,62,62
Opelo_Stradyon,50,5,0.36478392336741483,0.2071905528911701,0.322,0.18399604738837588,0.6938333333333334,0.3758466312682478,1.61,1.61,23.48,23.48,100,395,296.0,50.0,50,50
Dinterdos123,50,5,0.36314755089203155,0.15543556359720362,0.38800000000000007,0.1552319867068952,0.5798333333333333,0.3126072879801693,1.94,1.86,19.83,9.35,100,83,62.0,50.0,50,50
dareggon,150,5,0.36161367521122606,0.20234318014869715,0.42200000000000004,0.2359506882226184,0.8343333333333334,0.33451658673576534,2.11,1.21,32.02,12.67,100,145,109.0,109.0,109,109
dareggon,200,5,0.36161367521122606,0.20234318014869715,0.42200000000000004,0.2359506882226184,0.8343333333333334,0.33451658673576534,2.11,1.21,32.02,12.67,100,145,109.0,109.0,109,109
dareggon,250,5,0.36161367521122606,0.20234318014869715,0.42200000000000004,0.2359506882226184,0.8343333333333334,0.33451658673576534,2.11,1.21,32.02,12.67,100,145,109.0,109.0,109,109
dareggon,300,5,0.36161367521122606,0.20234318014869715,0.42200000000000004,0.2359506882226184,0.8343333333333334,0.33451658673576534,2.11,1.21,32.02,12.67,100,145,109.0,109.0,109,109
dareggon,100,5,0.36063664949388646,0.19545638925446648,0.42,0.2247332874877473,0.8388333333333332,0.32648740185346137,2.1,1.17,32.02,12.67,100,145,109.0,100.0,100,100
KSTTK,100,5,0.3584063094492238,0.21383135691109584,0.318,0.19714118409060666,0.69,0.3654709613211746,1.59,1.41,27.24,5.73,100,138,104.0,100.0,100,100
KSTTK,150,5,0.35670989543687637,0.21055310701390356,0.32,0.192799681461659,0.69,0.3654709613211746,1.6,1.4,27.24,5.73,100,138,104.0,104.0,104,104
