score_variant,clip_predictions,bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,random_state,svd_explained_variance
clipped,True,12,10,0.28983396060805433,0.13088487020443157,0.32049999999999995,0.1261320596930537,0.5979702380952381,0.3331761285689874,3.205,2.455,109.225,55.49,Czerik,457,200,42,0.12796885211512077
clipped,True,12,5,0.7737752827357055,0.1905887574378612,0.7959999999999999,0.19743073335314795,0.99,0.08623912064514712,3.98,3.335,54.115,20.48,DoomSlayer_OG,361,200,42,0.12796885211512077
clipped,True,12,10,0.6023102501011884,0.1435754283670195,0.6104999999999999,0.15282844193184922,0.9907142857142857,0.07821658435588125,6.105,4.39,54.115,20.48,DoomSlayer_OG,361,200,42,0.12796885211512077
clipped,True,12,5,0.838537957704919,0.1340344408035986,0.9109999999999999,0.13553912450416958,0.9975,0.03535533905932737,4.555,3.7,90.95,25.06,Goril,432,200,42,0.12796885211512077
clipped,True,12,10,0.698296759732336,0.11422877233605462,0.7795000000000001,0.11574425976410975,0.9975,0.03535533905932737,7.795,5.345,90.95,25.06,Goril,432,200,42,0.12796885211512077
clipped,True,12,5,0.08025211787772292,0.08556614578003446,0.11600000000000002,0.12090113906467415,0.13483333333333333,0.135515950590038,0.58,0.525,186.87,27.15,Irseus,775,200,42,0.12796885211512077
clipped,True,12,10,0.11515107066253188,0.06224677983022516,0.209,0.09088620086425488,0.1948373015873016,0.0838425606828847,2.09,1.135,186.87,27.15,Irseus,775,200,42,0.12796885211512077
clipped,True,12,5,0.020452972464588104,0.05011538747266785,0.031,0.07256257046967005,0.04041666666666667,0.0969875328003792,0.155,0.13,60.49,32.99,LocNguyen,572,200,42,0.12796885211512077
clipped,True,12,10,0.03262034136657147,0.045605719315639406,0.0525,0.06569114577449406,0.078,0.10038293779373583,0.525,0.355,60.49,32.99,LocNguyen,572,200,42,0.12796885211512077
clipped,True,12,5,0.16797069648291496,0.16744716979088392,0.149,0.13890816170022074,0.3725,0.39377750096724257,0.745,0.745,23.65,23.65,Opelo_Stradyon,395,200,42,0.12796885211512077
clipped,True,12,10,0.16358287416779776,0.1157948333051522,0.1525,0.0961246573400588,0.4051865079365079,0.36610580246353935,1.525,1.525,23.65,23.65,Opelo_Stradyon,395,200,42,0.12796885211512077
clipped,True,12,5,0.09764367800586303,0.10481961426689529,0.12200000000000001,0.11125596364795999,0.19824999999999998,0.23898046463897832,0.61,0.56,49.57,25.96,Stusbu,258,200,42,0.12796885211512077
clipped,True,12,10,0.10841881788673312,0.08438250014283907,0.14100000000000001,0.09143743226983411,0.23321626984126984,0.21661658126537825,1.41,1.11,49.57,25.96,Stusbu,258,200,42,0.12796885211512077
clipped,True,12,5,0.4663623092289212,0.23137505977948836,0.415,0.2092700882812597,0.7875,0.33751046884935954,2.075,1.99,104.99,52.21,azriqluqman,440,200,42,0.12796885211512077
clipped,True,12,10,0.3731757680800418,0.1533207641656911,0.331,0.12536980473662104,0.7979960317460317,0.3141496147310834,3.31,2.89,104.99,52.21,azriqluqman,440,200,42,0.12796885211512077
clipped,True,12,5,0.8257262614173253,0.08985186436909513,0.813,0.06673279802060071,0.96,0.13598699317051532,4.065,3.995,291.325,146.125,chenamaty,1503,200,42,0.12796885211512077
clipped,True,12,10,0.8289631766408796,0.08238680090990202,0.8460000000000001,0.07423986657413068,0.96,0.13598699317051532,8.46,8.035,291.325,146.125,chenamaty,1503,200,42,0.12796885211512077
clipped,True,12,5,0.3285919012356925,0.18500324949235852,0.47100000000000003,0.18255308307641233,0.55725,0.2911047590422019,2.355,1.35,143.505,8.845,okami20,699,200,42,0.12796885211512077
clipped,True,12,10,0.29010768001435117,0.13811352235394433,0.419,0.14882791654699262,0.5596309523809524,0.28714300372386514,4.19,1.615,143.505,8.845,okami20,699,200,42,0.12796885211512077
