model,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,rated_eval_count,liked_count,like_threshold,relevance_threshold,liked_ratio,score_mean,score_std,score_median,n_runs,random_state,clip_predictions,feature_set,n_features,feature_rows,bayesian_uncertainty_weight,neighbor_setting,score_count_bin
bayesian_ridge,5,0.037342981827815265,0.07262257065668744,0.052000000000000005,0.09690149116447586,0.06633333333333333,0.12604178666827912,0.26,0.24,52.13,14.68,RitsuKun,255,255,59,8.708166239875025,6,0.23137254901960785,7.470588235294118,1.4163324797500496,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
global_mean,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.13,14.68,RitsuKun,255,255,59,8.708166239875025,6,0.23137254901960785,7.470588235294118,1.4163324797500496,8.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
knn_all_available,5,0.3816596067057608,0.17240206454450088,0.4,0.1752343308460722,0.5411666666666667,0.24354120312721403,2.0,1.99,24.13,14.24,monkeydirene,159,159,58,7.807043476214936,6,0.36477987421383645,6.930817610062893,1.6140869524298718,7.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
bayesian_ridge,5,0.14367238767558096,0.15680845479158478,0.14,0.1407052941362897,0.36166666666666664,0.40002455031282047,0.7,0.55,24.13,14.24,monkeydirene,159,159,58,7.807043476214936,6,0.36477987421383645,6.930817610062893,1.6140869524298718,7.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
global_mean,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.13,14.24,monkeydirene,159,159,58,7.807043476214936,6,0.36477987421383645,6.930817610062893,1.6140869524298718,7.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
knn_all_available,5,0.18954003707296238,0.10973303667546475,0.30400000000000005,0.1620076067549442,0.6073333333333334,0.3832222061144933,1.52,0.61,22.83,4.7,ladygrinningsoul,91,91,19,9.461734652179219,6,0.2087912087912088,8.780219780219781,0.9234693043584391,9.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_20_100
bayesian_ridge,5,0.16553367669029687,0.15421750242703058,0.2,0.15827351342061333,0.48100000000000004,0.40483899613872776,1.0,0.53,22.83,4.7,ladygrinningsoul,91,91,19,9.461734652179219,6,0.2087912087912088,8.780219780219781,0.9234693043584391,9.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_20_100
global_mean,5,0.11079382239893498,0.09522914907668505,0.19200000000000003,0.15020524678457864,0.20833333333333331,0.14139159271888302,0.96,0.52,22.83,4.7,ladygrinningsoul,91,91,19,9.461734652179219,6,0.2087912087912088,8.780219780219781,0.9234693043584391,9.0,100,42,False,complete_num_genres,80,4859,,,completed_20_100
knn_all_available,5,0.7582736409531802,0.11879725150590482,0.758,0.09553676113032475,0.905,0.19713862220183126,3.79,3.79,101.58,59.71,MubE,505,505,240,7.66268917706381,6,0.4752475247524752,7.338613861386139,1.3253783541276205,7.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_400_plus
bayesian_ridge,5,0.5994597479988198,0.19945089888552067,0.55,0.19565998130130824,0.8725,0.2516653287809779,2.75,2.75,101.58,59.71,MubE,505,505,240,7.66268917706381,6,0.4752475247524752,7.338613861386139,1.3253783541276205,7.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_400_plus
global_mean,5,0.23569236019476186,0.19253047528975373,0.23199999999999998,0.18579884854651849,0.42333333333333334,0.34117049461714366,1.16,1.16,101.58,59.71,MubE,505,505,240,7.66268917706381,6,0.4752475247524752,7.338613861386139,1.3253783541276205,7.0,100,42,False,complete_num_genres,80,4859,,,completed_400_plus
knn_all_available,5,0.26018400478529236,0.16138656337004806,0.342,0.18919286295719345,0.7835,0.358334272960948,1.71,0.69,23.34,6.12,eroz95,117,117,25,8.625714581636535,6,0.21367521367521367,7.512820512820513,1.2514291632730699,8.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
global_mean,5,0.136632388282493,0.11562001396125991,0.17,0.14599017539934434,0.20166666666666663,0.15176662632621898,0.85,0.85,23.34,6.12,eroz95,117,117,25,8.625714581636535,6,0.21367521367521367,7.512820512820513,1.2514291632730699,8.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
bayesian_ridge,5,0.1339477480315391,0.14225272922270418,0.17800000000000002,0.16303931483485257,0.3075,0.32435185305332315,0.89,0.53,23.34,6.12,eroz95,117,117,25,8.625714581636535,6,0.21367521367521367,7.512820512820513,1.2514291632730699,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
global_mean,5,0.10298302251984552,0.14403226867031407,0.136,0.14461373141279257,0.34,0.40126063974691184,0.68,0.23,63.25,22.41,LuffyThiago,276,276,90,8.616793954743962,6,0.32608695652173914,8.0,1.2335879094879225,8.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
knn_all_available,5,0.08885414992881997,0.136069191462008,0.09,0.12512619892159138,0.3318333333333333,0.45817242354485904,0.45,0.24,63.25,22.41,LuffyThiago,276,276,90,8.616793954743962,6,0.32608695652173914,8.0,1.2335879094879225,8.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
bayesian_ridge,5,0.05048365778108747,0.09701010810494824,0.054000000000000006,0.09787644241490379,0.1085,0.2220263657107126,0.27,0.26,63.25,22.41,LuffyThiago,276,276,90,8.616793954743962,6,0.32608695652173914,8.0,1.2335879094879225,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
knn_all_available,5,0.6789113338073304,0.19632650176889435,0.63,0.21904291355759029,0.9825,0.10209299583213241,3.15,2.94,69.91,25.73,Getouter,372,372,106,8.765954517003564,6,0.2849462365591398,7.505376344086022,1.5319090340071293,8.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
bayesian_ridge,5,0.5329055024091356,0.23320725819028576,0.496,0.21173644757651724,0.8115000000000001,0.3076894724357845,2.48,2.44,69.91,25.73,Getouter,372,372,106,8.765954517003564,6,0.2849462365591398,7.505376344086022,1.5319090340071293,8.0,100,42,False,complete_num_genres,80,4859,15.0,,completed_100_400
global_mean,5,0.1805358765748314,0.16931156209154924,0.17,0.14873201444615788,0.38333333333333336,0.3999158160571546,0.85,0.85,69.91,25.73,Getouter,372,372,106,8.765954517003564,6,0.2849462365591398,7.505376344086022,1.5319090340071293,8.0,100,42,False,complete_num_genres,80,4859,,,completed_100_400
knn_all_available,5,0.5965288845808621,0.18741224053871233,0.53,0.18504708655481236,0.922,0.20997675035640423,2.65,2.49,43.75,12.54,Trodos_,179,179,49,9.511531760547914,6,0.2737430167597765,8.793296089385475,1.0230635210958299,9.0,100,42,False,complete_num_genres,80,4859,,all_available,completed_100_400
