username,model,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,valid_runs,score_count,avg_train_count,avg_candidate_count,avg_knn_neighbors,feature_set,feature_columns,n_features,feature_rows,bayesian_uncertainty_weight,clip_predictions,n_runs,random_state,svd_explained_variance
Ebelha,bayesian_ridge,5,0.0895366551632853,0.1373233421637713,0.098,0.1222516034473762,0.2471666666666666,0.3571386395454028,0.49,0.34,48.0,17.9,100,191,143.0,4716.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Kutu_Mastor,bayesian_ridge,5,0.0881495291930311,0.1093086164063751,0.098,0.1222516034473762,0.1686666666666666,0.2122283038950891,0.49,0.49,41.19,21.31,100,237,178.0,4681.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
xF0x,bayesian_ridge,5,0.0860465775745911,0.1349770185046221,0.088,0.1249484742288645,0.2268333333333333,0.3526944147110217,0.44,0.32,20.45,12.71,100,135,101.0,4758.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
AkiAki_Akira,bayesian_ridge,5,0.085993823859933,0.1227092150729877,0.088,0.118304520606609,0.178,0.2772204509973578,0.44,0.44,37.86,21.92,100,234,176.0,4683.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Irseus,bayesian_ridge,5,0.079613405358074,0.0933595005961787,0.114,0.1341038343368241,0.1273333333333333,0.136813175965786,0.57,0.52,187.09,26.89,100,775,581.0,4278.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
LoyJoy,bayesian_ridge,5,0.0766449930250126,0.101856935170913,0.08,0.0984731927834661,0.1689999999999999,0.2545657158843345,0.4,0.4,27.61,15.48,100,231,173.0,4686.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Kutu_Mastor,knn_all_available,5,0.0765043270914314,0.1125060693370558,0.07,0.0958744970882204,0.184,0.2976235843810063,0.35,0.35,41.19,21.31,100,237,178.0,4681.0,178.0,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Opelo_Stradyon,global_mean,5,0.0746152451601955,0.1412036535380081,0.044,0.0832666399786453,0.22,0.4163331998932265,0.22,0.22,23.48,23.48,100,395,296.0,4563.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Haileytokar,bayesian_ridge,5,0.0729859432870772,0.121148105900928,0.078,0.1097103624839679,0.2083333333333333,0.3379104935977894,0.39,0.26,41.49,16.4,100,198,148.0,4711.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
KSTTK,bayesian_ridge,5,0.0716073021080862,0.1049113723841145,0.104,0.1317481527672238,0.1841666666666666,0.2721900104627926,0.52,0.3,27.24,5.73,100,138,104.0,4755.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
pensa89,bayesian_ridge,5,0.0633964392881421,0.0873939444017542,0.108,0.1315640182918221,0.1655,0.2184689994111377,0.54,0.28,18.79,7.16,100,92,69.0,4790.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
MeloniaShaby,bayesian_ridge,5,0.0601608909150813,0.1101557010857885,0.062,0.1089713149170343,0.125,0.2359699518621347,0.31,0.31,45.98,25.59,100,220,165.0,4694.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Ebelha,global_mean,5,0.0598719355915089,0.0562380965536886,0.122,0.0980414260000394,0.158,0.1372014665528121,0.61,0.34,48.0,17.9,100,191,143.0,4716.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
Moonshyla,bayesian_ridge,5,0.0552820659102059,0.0807963597824685,0.136,0.1235174710580072,0.199,0.2426335586250256,0.68,0.15,35.29,7.28,100,144,108.0,4751.0,,complete_numeric_only,"mean,popularity,watching",3,4859,15,False,100,42,0.1278304014210229
