bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k,avg_precision_at_k,std_precision_at_k,avg_mrr_at_k,std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,username,score_count,n_runs,clip_predictions
18,10,0.16714704002533273,0.11936321635386653,0.14400000000000002,0.09462312272132722,0.46220634920634923,0.41158019086219183,1.44,1.44,23.48,23.48,Opelo_Stradyon,395,100,False
17,10,0.16523161834150163,0.11847093376887714,0.14300000000000002,0.09455370981830401,0.4526785714285714,0.40416392752847974,1.43,1.43,23.48,23.48,Opelo_Stradyon,395,100,False
15,10,0.16381411861739523,0.11692534393561584,0.14700000000000002,0.09476712552783313,0.4300119047619047,0.3819222773000528,1.47,1.47,23.48,23.48,Opelo_Stradyon,395,100,False
13,10,0.16160345595172015,0.11473457866225857,0.14600000000000002,0.09472981248655238,0.4209325396825397,0.37858350538576413,1.46,1.46,23.48,23.48,Opelo_Stradyon,395,100,False
12,10,0.16122316921716354,0.11464394259069355,0.149,0.09795381306998462,0.405531746031746,0.36491999374301315,1.49,1.49,23.48,23.48,Opelo_Stradyon,395,100,False
10,10,0.15238531362084817,0.10592551744651425,0.14400000000000002,0.09246347900384748,0.3703214285714286,0.33085668269704227,1.44,1.44,23.48,23.48,Opelo_Stradyon,395,100,False
9,10,0.14898635292988283,0.10257378528407625,0.149,0.09586922911398155,0.3291428571428571,0.28934456223896765,1.49,1.49,23.48,23.48,Opelo_Stradyon,395,100,False
8,10,0.14588920580724365,0.09789879757451027,0.14800000000000002,0.09479376870796195,0.31150396825396826,0.26417913177785896,1.48,1.48,23.48,23.48,Opelo_Stradyon,395,100,False
7,10,0.1405528289779553,0.09483391319097026,0.145,0.0925235432774062,0.2980357142857143,0.2577187841412218,1.45,1.45,23.48,23.48,Opelo_Stradyon,395,100,False
6,10,0.1335325763818493,0.09364318728260343,0.14300000000000002,0.09666666666666665,0.27309126984126986,0.24739191800113094,1.43,1.43,23.48,23.48,Opelo_Stradyon,395,100,False
5,10,0.12959781959235914,0.0922675025667252,0.146,0.09683892697555967,0.24414285714285713,0.22765835611913482,1.46,1.46,23.48,23.48,Opelo_Stradyon,395,100,False
3,10,0.08580300960453183,0.06813150460895903,0.10700000000000001,0.08318775162367366,0.14788888888888888,0.12286793951778217,1.07,1.07,23.48,23.48,Opelo_Stradyon,395,100,False
0,10,0.006385333619826168,0.02083749472704712,0.009000000000000001,0.028762349126466132,0.012166666666666666,0.04433519822579925,0.09,0.09,23.48,23.48,Opelo_Stradyon,395,100,False
-4,10,0.0007336392209936006,0.007336392209936006,0.001,0.01,0.0014285714285714286,0.014285714285714284,0.01,0.01,23.48,23.48,Opelo_Stradyon,395,100,False
-3,10,0.0007336392209936006,0.007336392209936006,0.001,0.01,0.0014285714285714286,0.014285714285714284,0.01,0.01,23.48,23.48,Opelo_Stradyon,395,100,False
-1,10,0.0007336392209936006,0.007336392209936006,0.001,0.010000000000000002,0.0014285714285714286,0.014285714285714285,0.01,0.01,23.48,23.48,Opelo_Stradyon,395,100,False
-5,10,0.0006943122193677726,0.006943122193677728,0.001,0.01,0.00125,0.0125,0.01,0.01,23.48,23.48,Opelo_Stradyon,395,100,False
-2,10,0.0006943122193677726,0.006943122193677727,0.001,0.010000000000000002,0.00125,0.012499999999999999,0.01,0.01,23.48,23.48,Opelo_Stradyon,395,100,False
8,5,0.16352915163287093,0.12814888188709825,0.23,0.14873201444615788,0.33549999999999996,0.1956980512747311,1.15,0.83,16.53,8.52,Captn_Cook,79,100,False
12,5,0.1634768025366428,0.12070184861039131,0.22400000000000003,0.1371572863982122,0.31766666666666665,0.18074884758548043,1.12,0.89,16.53,8.52,Captn_Cook,79,100,False
3,5,0.16273119277983425,0.12890311569835214,0.23800000000000002,0.15490629295144726,0.35133333333333333,0.21147868054069263,1.19,0.78,16.53,8.52,Captn_Cook,79,100,False
10,5,0.16109184620888672,0.12918255352914595,0.222,0.14742229591663988,0.3278333333333333,0.19973404033535916,1.11,0.84,16.53,8.52,Captn_Cook,79,100,False
9,5,0.1604041502095959,0.12790770786076233,0.222,0.14742229591663988,0.32966666666666666,0.20219863332283097,1.11,0.82,16.53,8.52,Captn_Cook,79,100,False
13,5,0.15965657470383376,0.12251436875249493,0.218,0.13953747550642828,0.30983333333333335,0.1849726979581013,1.09,0.87,16.53,8.52,Captn_Cook,79,100,False
5,5,0.15912477736731753,0.13005741366206647,0.234,0.15584244828309357,0.3363333333333333,0.19679502744806035,1.17,0.78,16.53,8.52,Captn_Cook,79,100,False
7,5,0.1590155331761952,0.12866035573764542,0.23,0.15406937962286257,0.3293333333333333,0.19681983420897178,1.15,0.8,16.53,8.52,Captn_Cook,79,100,False
15,5,0.158087900914871,0.12228000552269166,0.21,0.14034589305344744,0.30066666666666664,0.19013138584483416,1.05,0.88,16.53,8.52,Captn_Cook,79,100,False
6,5,0.1560687822574458,0.1303808326939228,0.228,0.15575168011480925,0.32899999999999996,0.19884091741316834,1.14,0.77,16.53,8.52,Captn_Cook,79,100,False
17,5,0.15386583139333884,0.12253317144143396,0.20800000000000002,0.14472544539732654,0.27666666666666667,0.17651063562668914,1.04,0.88,16.53,8.52,Captn_Cook,79,100,False
18,5,0.15056336974181417,0.119355044051048,0.2,0.1421338109037403,0.2733333333333333,0.1820663289797104,1.0,0.86,16.53,8.52,Captn_Cook,79,100,False
20,5,0.1492179690183396,0.11982075989077404,0.19400000000000003,0.14057601559873634,0.26516666666666666,0.19501496388526052,0.97,0.86,16.53,8.52,Captn_Cook,79,100,False
0,5,0.12847049481087658,0.1066086230729369,0.21400000000000002,0.14840566843703248,0.26233333333333336,0.17792954380575074,1.07,0.64,16.53,8.52,Captn_Cook,79,100,False
-1,5,0.10387487334932997,0.1044876510240015,0.17600000000000002,0.14847371634213394,0.21466666666666664,0.1827781615543544,0.88,0.51,16.53,8.52,Captn_Cook,79,100,False
-2,5,0.07381007136062259,0.10069112571365933,0.12,0.1421338109037403,0.15383333333333332,0.18578638941424772,0.6,0.37,16.53,8.52,Captn_Cook,79,100,False
-3,5,0.04937243804041002,0.10160557392763217,0.07600000000000001,0.13567638264665233,0.1005,0.18475049149527076,0.38,0.23,16.53,8.52,Captn_Cook,79,100,False
-4,5,0.019699932687950755,0.0636257974074306,0.028000000000000004,0.08050346626579555,0.042833333333333334,0.12261770267828792,0.14,0.1,16.53,8.52,Captn_Cook,79,100,False
-5,5,0.0017494010334978905,0.013788256038017041,0.004,0.02814105882725794,0.004,0.02814105882725794,0.02,0.01,16.53,8.52,Captn_Cook,79,100,False
3,10,0.19094492590169979,0.10065686390531237,0.242,0.11475049789729351,0.36564682539682536,0.19100101270959077,2.42,1.71,16.53,8.52,Captn_Cook,79,100,False
5,10,0.19048467330570173,0.09828602703621889,0.243,0.11214618886421275,0.35564682539682535,0.1679130451637388,2.43,1.72,16.53,8.52,Captn_Cook,79,100,False
9,10,0.18999825540758664,0.096166172971974,0.23600000000000002,0.10779704086941358,0.35111111111111115,0.17120328845332564,2.36,1.74,16.53,8.52,Captn_Cook,79,100,False
8,10,0.18969679766213784,0.09600714130037057,0.23600000000000002,0.10685589276301902,0.35353174603174603,0.16838129350492673,2.36,1.72,16.53,8.52,Captn_Cook,79,100,False
6,10,0.18909286657185886,0.0980345261380897,0.24100000000000002,0.11109646368100223,0.3496825396825397,0.168834591299902,2.41,1.72,16.53,8.52,Captn_Cook,79,100,False
