bayesian_uncertainty_weight,k,avg_ndcg_at_k,std_ndcg_at_k_across_users,avg_precision_at_k,std_precision_at_k_across_users,avg_mrr_at_k,std_mrr_at_k_across_users,mean_within_user_std_ndcg_at_k,mean_within_user_std_precision_at_k,mean_within_user_std_mrr_at_k,avg_relevant_hits_at_k,avg_strong_hits_at_k,avg_test_relevant,avg_test_strong_relevant,users_evaluated,avg_score_count
12,10,0.17081609444895188,0.13629585135617547,0.18820689655172415,0.14886316327187982,0.3810555555555556,0.26488256452327735,0.099166361439701,0.09553527998337356,0.24421385491953046,1.8820689655172413,1.3520689655172413,44.83724137931034,19.103793103448275,29,251.9655172413793
13,5,0.18727526936572275,0.1628268534094275,0.20972413793103448,0.17300926823887708,0.3614942528735632,0.27592805697232214,0.13524116244326792,0.13560282957408035,0.25926856846533314,1.0486206896551724,0.8144827586206896,44.83724137931034,19.103793103448275,29,251.9655172413793
13,10,0.17004569877066447,0.13504969647851617,0.18724137931034482,0.14782220381555236,0.3833134920634921,0.2644363931783786,0.0994990005069499,0.09522513142911368,0.24729990197143908,1.8724137931034481,1.336896551724138,44.83724137931034,19.103793103448275,29,251.9655172413793
15,5,0.1877898894168521,0.16235678015718694,0.2104137931034483,0.1737488987100513,0.3637528735632184,0.27544428980663704,0.13606423298355327,0.1365183872227368,0.263000043677641,1.0520689655172415,0.8144827586206896,44.83724137931034,19.103793103448275,29,251.9655172413793
15,10,0.1688966629135778,0.13346352110584409,0.18541379310344827,0.14628287597308054,0.38589627805145044,0.2639275005525412,0.09954255870397322,0.09495596638367892,0.251180430143715,1.8541379310344825,1.3162068965517242,44.83724137931034,19.103793103448275,29,251.9655172413793
17,5,0.18737899943205574,0.1619329144887614,0.21013793103448278,0.17346875472832296,0.36464942528735633,0.2758831322649297,0.13544437868977993,0.1358476030860873,0.26331086431009443,1.0506896551724139,0.8110344827586207,44.83724137931034,19.103793103448275,29,251.9655172413793
17,10,0.1682509812372603,0.13326453087872536,0.1846551724137931,0.14656380274768413,0.3861000273672688,0.2647100570063253,0.09930064162075486,0.09483697368560624,0.25138881893061604,1.846551724137931,1.306896551724138,44.83724137931034,19.103793103448275,29,251.9655172413793
18,5,0.18673349678237883,0.16198559104731758,0.20868965517241378,0.1736690414569941,0.3648620689655172,0.2762006009447357,0.13548870046145337,0.13592953361091328,0.2646440459704051,1.0434482758620691,0.8041379310344827,44.83724137931034,19.103793103448275,29,251.9655172413793
18,10,0.16829851790801206,0.1330788062716767,0.18468965517241379,0.14614721136293554,0.3869058565955118,0.26485001271335173,0.09947840424921935,0.0950518443458576,0.25218007565723627,1.846896551724138,1.3051724137931036,44.83724137931034,19.103793103448275,29,251.9655172413793
20,5,0.1867442210026961,0.16162880728499757,0.2093793103448276,0.17450509894169353,0.36459195402298844,0.27438311612975963,0.13542853503057367,0.13645311454455974,0.2666478773480373,1.046896551724138,0.8048275862068965,44.83724137931034,19.103793103448275,29,251.9655172413793
20,10,0.16746655637520536,0.13227771197229898,0.18382758620689657,0.14560049768496114,0.38660946907498633,0.2631863098094708,0.099317348517429,0.09496111391634099,0.25401808330328385,1.8382758620689656,1.2955172413793103,44.83724137931034,19.103793103448275,29,251.9655172413793
